schedule_date,shift_id,employee_id,org_path,job_code,shift_start,shift_end,shift_bucket,is_open_shift,scheduled_hours
2025-10-08,S500000,E100056,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500001,E100007,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500002,E100052,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500003,E100058,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500004,E100020,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500005,E100003,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500006,E100060,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500007,E100059,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500008,E100038,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500009,E100036,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500010,E100043,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500011,E100050,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500012,E100010,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500013,E100016,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500014,E100065,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500015,E100008,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500016,E100046,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500017,E100053,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500018,E100068,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500019,E100021,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500020,E100009,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500021,E100011,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,False,12.0
2025-10-08,S500022,,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:00:00,DAY,True,12.0
2025-10-08,S500023,E100010,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500024,E100006,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500025,E100048,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500026,E100018,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500027,E100008,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500028,E100004,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500029,E100061,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500030,E100019,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500031,E100056,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500032,E100024,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500033,E100054,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500034,E100059,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500035,E100028,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500036,E100016,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500037,E100055,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500038,E100046,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500039,E100038,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,False,12.0
2025-10-08,S500040,,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:00:00,EVENING,True,12.0
2025-10-08,S500041,E100047,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
2025-10-08,S500042,E100041,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
2025-10-08,S500043,E100060,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
2025-10-08,S500044,E100053,HHS/TX/FacilityA/Nursing,RN,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
2025-10-08,S500045,E100043,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
2025-10-08,S500046,E100042,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 10:00:00,NIGHT,False,12.0
